X,Y
-77.6055356014,43.1825426465
-77.6314204917,43.162304561
-77.5627336008,43.1581712725
-77.5991035652,43.151192367
-77.6109663851,43.2415052354
-77.6269897348,43.1322132285
-77.6390398231,43.1870163146
-77.5813677691,43.1752670096
-77.6513709255,43.1500267428
