X,Y
-77.59536346,43.1853546637
-77.6302170194,43.1499846457
-77.5595200564,43.1575998377
-77.655144477,43.164333318
-77.6234658341,43.1267047763
-77.6191767384,43.2427173056
-77.6066651391,43.1541380105
-77.6355452079,43.1731314482
-77.6130198777,43.1787565723
-77.5722588589,43.2363048637
-77.5902193167,43.1485883993
-77.5769953828,43.1724077536
-77.6481206297,43.1402583271
-77.6396603985,43.1947813263
